"Alexa","Consonant","Dataset","Dictionary","Digits","Entropy"
0.143611,0.783334,"acc063.88_43373ee1caba59eed7775b6de80eff2af7e2351946356ec65b25ca3c770958df.csv",0.272083,0.003542,2.404201
0.148993,0.713541,"acc053.00_86e1c5dbba22b6c88d41a7ee119470ca26cf8e2e497b5b2f0c3dd1bf3326bc83.csv",0.431458,0.002292,2.425986
0.032639,0.724168,"acc093.12_dd5f2f6e9f7b1bfe7f900646c3e5e2b55c6a77171128cc007281ed46e3f631d1.csv",0.071042,0.172499,2.402755
0.197049,0.678958,"acc032.12_1554cee9a08dfe78bbb639d9200378a53c86a70d30ef39d446681ea12460f189.csv",0.42125,0.003542,2.406496
0.225382,0.668333,"acc008.62_264669ac65f615907655268de1b6bff859a6a9e56a3c675f669b5465e7ff79fe.csv",0.4925,0.002708,2.392219
0.165174,0.711667,"acc037.12_234952c3d0c56f8e334f751a75dee2441c9375cc483f39218683b611e5f5230a.csv",0.295209,0.00375,2.407588
0.159896,0.702291,"acc049.12_257d6ca68c24897dfc415eb1696920452f54d28a543124fdcea3d3b35fd5ffe5.csv",0.278125,0.003958,2.40733
0.209444,0.66125,"acc019.00_f5aa8a83c016c7f2cc407f938d3e9caf709f8f1e60aeabe9400318d05ace4a8b.csv",0.485833,0.005,2.392682
0.184201,0.720625,"acc033.25_fe8deaf98ab48c6e1883ea8e2cad8259ada13ecb394cc5d50763fbd6f37a554f.csv",0.466458,4.17E-4,2.402753
0.164375,0.693334,"acc069.50_4bc16a368dbbc373b72c072598435ea2990aa0b3ae9188754d692180d521123d.csv",0.331042,0.00375,2.405459
0.099618,0.773125,"acc048.00_41e37c2882ff1ba1e54d1516988274ec4b83d56f8be508b957d1106ec3441fcd.csv",0.245833,0.031875,2.311313
0.039132,0.717084,"acc095.38_4cf56c7f3fdbbc8252e6521df217703fc29b61a9e0b16810369e6943dcc0f941.csv",0.089583,0.166666,2.452597
0.190347,0.695625,"acc020.88_8dbb699acc6463621d1373e686684d56662730b1262ea257a28fbcbfd700e84a.csv",0.455625,0.003542,2.393257
0.203021,0.658542,"acc009.88_4d5a4feb20d150d2ace50ef944007a45cd8e4aebd5abd31e9385a5633b0b4e50.csv",0.501667,0.007917,2.41181
0.035243,0.604791,"acc094.62_c68a3c71fd8480946893b28aeadfe5b8f2b3454f79a601807b26f26672d12955.csv",0.093542,0.169999,2.441772
0.050313,0.708541,"acc077.25_39e7eb8bbff8a2ed1800d3008a993768b361e7c60d022fde067e141544cc56f3.csv",0.122083,0.161875,2.436818
0.152604,0.70875,"acc027.50_3c3540aaaef79911c0201a8b30680b8f042b7267846dab3b9b272002c5c933c1.csv",0.289167,0.0,2.374105
0.165417,0.714584,"acc016.62_8e09aa5c5a03a3a1216c16a60d49c1dcd9da3cff8c279141474bb999fd36b104.csv",0.308334,0.006458,2.388218
0.163681,0.709375,"acc011.25_3eb30b902e6e68c82b90d0d198107538b56218497d34b38d57f47e14e62be783.csv",0.303542,0.005625,2.422447
0.202847,0.672709,"acc038.62_b83b2b700b19db27c5a477e6ba90c8166265d6f4c6f6c219d712e2fdcc3f92ea.csv",0.565208,4.17E-4,2.408375
0.06934,0.771874,"acc079.12_1b090161628aa1a60e5f11867526500a6026fd4ff4dd4ec00c86bfbef749b0fc.csv",0.155417,0.076875,2.43244
0.073194,0.775,"acc076.50_874d15eae3c51f8e8bcbd5fd303cc49aa0d42ee856e4209c4298287e6f20be65.csv",0.162708,0.077084,2.432291
0.18882,0.716042,"acc025.50_aa73866013f49711d46f9e27ce605763b59a4ab4d4007373ca8c62d06b37cec0.csv",0.378958,0.0,2.381545
0.220903,0.665833,"acc030.50_7a80aa35b3a2fa23fa7f161d27e4dfa39bdeecf10c529f5b6a93bffcac6b8b20.csv",0.493541,0.003333,2.400396
0.028819,0.738959,"acc095.25_a45698bf0264f712e552760740a32ccfd91ec3a57115224e7df63e4ef70b7d23.csv",0.063958,0.16354,2.396923
0.036493,0.657291,"acc088.50_00cec33a628c2030ca51a61c8b59e74e6dd51d9ce6607b2c9b5b3d1b9a32c505.csv",0.089167,0.222084,2.365623
0.205833,0.654166,"acc021.25_66df883f7b4d4474917bf4f493cc790cf0bdc4135a1af494f48fc7687e372b66.csv",0.384583,0.002708,2.376897
0.169965,0.706667,"acc010.75_aba32edea0fbc38e1504e6806779822375f9875920bc0ddcc55783137e633f91.csv",0.3075,0.005625,2.413792
0.029653,0.558124,"acc088.62_0beb6afa7bbe828d40aa98b151e69f9101f3c48da8e88b7d3c7b6e083cbaabef.csv",0.051875,0.260418,2.512505
0.203021,0.664167,"acc018.62_16e1d0859e147d2c662074e607450b655e41054a6dacec11edc9f0a91998d9c6.csv",0.491041,0.004792,2.384932
0.158889,0.704167,"acc044.00_0a724cc7930f836a1379976a0bf06964fa40c5449955e4fe841d6be5ff8f7d2a.csv",0.2575,0.00375,2.416136
0.035,0.612708,"acc096.12_f98cb340658862f3f145f29d024a443a55fc93a0821a434a79a63911451f6fed.csv",0.085208,0.169999,2.43891
0.034132,0.667292,"acc097.38_0132416f6bd32e37b550f115f8430f46458515f03a3e0f5e4561a2149d465f9c.csv",0.080417,0.2325,2.462967
0.158959,0.715,"acc016.12_55022c390b4a99fdd63873ca17644956991f69fbc4331490783f8df7d7b19b42.csv",0.290625,0.003958,2.376182
0.170729,0.698542,"acc031.50_a5b7fd1a661909549fb67664e97eaee87323086714da3cdd0f2ac8f883d65f50.csv",0.299584,0.004792,2.405969
0.21809,0.68625,"acc008.50_504d49166131e6ba5ef363522f7e917abbfaf0711aff8b1acc3fbd5557dc3937.csv",0.496458,0.0,2.386914
0.142188,0.7825,"acc062.12_55314204fbdf6b19123f123620d7a492160dd8a436558ab76ca3f63259145715.csv",0.277292,0.003542,2.413116
0.160903,0.586458,"acc044.88_09555fe58640265e69d5cd71b334242d0f87c8d068ec31fe1a19a5397d34beca.csv",0.328125,0.003958,2.384664
0.216389,0.678333,"acc009.25_b135b714d350a98036b524814c668ebf55d554794b500cfd43a86dc65af047d7.csv",0.530833,0.0,2.39994
0.208681,0.663541,"acc008.62_795b45cc1db88b783f804da61c7e5ddec7c7f0257b7f6b35fcbf95de20fa67e0.csv",0.428333,8.33E-4,2.368045
0.105903,0.762291,"acc063.00_2455da624f35715cc5886a1f00d2d4b1196e793d6a19ce106f254e28269e1dcc.csv",0.229583,0.02625,2.382321
0.088715,0.794375,"acc074.12_70504cb54fe723761e70ae5cd924045162c3fb0dc71e867404a5c64c6cd1e4a7.csv",0.208958,0.045417,2.421135
0.135868,0.706251,"acc014.37_1e951d0b8736b9a047d08add04bac8859b7bb8038798ea37d077f52fd15cd8cb.csv",0.250625,0.0,2.383532
0.073854,0.701875,"acc075.25_d8971cf2750a5f057e5669dbd1ffe38c3161b80afeff208bf8995a4fde69f8a2.csv",0.140625,0.108542,2.410624
0.151354,0.707292,"acc044.12_06ad0db225cfdcd05d87d186c89e66c5cba9d017af49dfe019e6d0026658e23d.csv",0.274792,0.003958,2.417543
0.152014,0.722708,"acc064.25_001d865629d99a4b8577b24adf4d5629d9ebbb0d8ef243bfdb5fe2978d55f649.csv",0.330208,0.005208,2.400081
0.148229,0.759584,"acc062.62_3b224d0e9120b411f26d218d62f38f8ec4211ba2bb6c94dda4a13be51ca253b5.csv",0.302292,0.003333,2.385394
0.211389,0.676249,"acc008.62_2bf9f259bd082b6baf40c07cce0bdd6228cf1ab1168752167cd1541a209a62fe.csv",0.483125,0.00375,2.408375
0.038611,0.719375,"acc094.00_7c230a98c51ef6ef6ac226b6ef2ca155e0250a456bf8b67632de6d883e81cb28.csv",0.075833,0.169583,2.467338
0.185452,0.708958,"acc038.00_2d85194127a052b190d88decd9c725cfc3e9d9719098ebd3badaedab3e91a222.csv",0.370625,0.003125,2.406756
0.122535,0.7925,"acc062.88_182152a658a018fa74084d65a40cf79a34403e0917f901c4f4e3ac735d6bfa1f.csv",0.236042,0.012708,2.414468
0.197326,0.641875,"acc008.12_1ba9a058a0913c6d69ec325889e0edf9d928a4c5254fb38939565c2ed9762438.csv",0.41875,0.001042,2.31328
0.040799,0.634998,"acc087.12_e5173a1f1e24cce179b011a1e27a534098c13c4ae7dc046005798a8883b8e7a0.csv",0.097917,0.148958,2.450365
0.035,0.728125,"acc095.62_4e1b3eef85a0d4447291b1cee7c53a49d28e09053a5646d77e6d6e5b9aafde8c.csv",0.076458,0.166666,2.459839
0.194583,0.686667,"acc056.62_0bd2e8d5a5aab0eb235be6cdc83146717412967eb5d5713a643a826a7cf845e6.csv",0.424167,8.33E-4,2.419152
0.219167,0.663124,"acc045.12_dbfd220d6f8dcc0048a1d277a7d2db9bc04a9c459ec3b7a1e731e85ea437f65e.csv",0.512083,6.25E-4,2.419784
0.037292,0.643958,"acc094.62_b88a8488532b897a4dd91b459ab97fc6caebfe83789f70b187dcc64fc51927c0.csv",0.095833,0.169999,2.436614
0.21066,0.638125,"acc009.38_7738758d8b8e3c087fe60ac19cd9f2d2d0900c3b8c3c4787a2b2d3c692351320.csv",0.451041,0.001667,2.344852
0.034375,0.547916,"acc094.88_2bf9ea301d7996413088937316cd1d087094c056cb6f6978b1ee39a2c842058b.csv",0.088125,0.336874,2.486459
0.163125,0.709166,"acc064.00_15f88db036875f3b7c4001d6f62f2883a6e15b0dc7a3fb88322f6786ddb00f75.csv",0.3175,0.007083,2.419216
0.204792,0.682084,"acc024.38_80d5daf77a901d76785d0ee3e8092dd7dd3538a36ea9f16f610acb361f5c4780.csv",0.39625,0.001875,2.369979
0.155625,0.703958,"acc066.50_3a48adb8fab4704e9c4190d1730c00afea7d1b8fc0ca464b7d51b43702cea5b3.csv",0.34125,0.005,2.405921
0.200347,0.688958,"acc038.12_eea3a4ecbc2f9de8dfb61a4147c3d1df8353308688983251c0b2a6e91dfeba7a.csv",0.532916,8.33E-4,2.407855
0.064028,0.712292,"acc077.50_054bf4e891839982087d9a533514107fc231469644f3ea8001b0185c14f06a16.csv",0.153958,0.128959,2.442079
0.066736,0.775417,"acc072.50_869cce1555c1f61f773adbc1102d423a6cbae216c8ed276bd218532797a8dcea.csv",0.163542,0.065417,2.387376
0.214583,0.68,"acc061.88_ae93d0c5707d5f85ab5ec590fbc67548e8f667e5e294170bfe9c6fd6a08cf736.csv",0.471042,0.001667,2.417441
0.120243,0.694376,"acc071.88_272de24d9528262859f2c337d1b214287f91d6f2feadbe46bc2295ac5b6abf6e.csv",0.226042,0.014167,2.387534
0.123368,0.773125,"acc041.50_ab03cf8b46cee01c9d7ea904064359217e4da00f3d45989a6fe0e4a026e079a8.csv",0.291875,0.010833,2.327517
